Repository Name,Organization,URL,Last Pushed Date,Stars,Forks,Watchers,Open Issues,Commits (2025-2026),Commits (Last 30d),Commits (Last 90d),Last Commit Date (Human),Last Commit Author (Human),Contributors Total,Latest Release Date,Days Since Last Release,PRs Currently Open,PRs Merged (All Time),Issues Currently Open,Issues Closed (All Time),Issues Opened (2025-2026),Issues Closed (2025-2026),PRs Opened (2025-2026),PRs Merged (2025-2026),Latest Issue Comment Date (Human),Latest Issue Comment Author (Human),Latest PR Review Date (Human),Latest PR Review Author (Human),Traffic Views,Traffic Clones
.allstar,knative-extensions,https://github.com/knative-extensions/.allstar,2024-05-17T21:53:27Z,0,2,0,1,0,0,0,,,0,,,0,0,0,0,0,0,0,0,,,,,,9
.github,knative-extensions,https://github.com/knative-extensions/.github,2026-03-18T01:38:57Z,2,30,2,0,0,0,0,,,32,,,0,18,0,0,0,0,0,0,,,2024-07-17T14:05:58Z,dprotaso,1,36
autoscaler-keda,knative-extensions,https://github.com/knative-extensions/autoscaler-keda,2026-04-06T14:59:01Z,4,9,4,3,7,0,0,2025-08-19T18:44:48Z,dprotaso,5,2026-01-28T17:51:31Z,68,0,9,3,7,1,7,10,8,2025-02-15T02:18:38Z,testwhygh,2025-08-15T14:29:41Z,dprotaso,14,417
backstage-plugins,knative-extensions,https://github.com/knative-extensions/backstage-plugins,2026-04-06T14:33:02Z,5,22,5,0,9,0,0,2025-08-11T08:19:53Z,Cali0707,11,2026-01-28T16:15:27Z,68,0,10,0,2,1,2,11,10,2025-07-24T09:52:02Z,gauron99,2025-08-11T08:06:14Z,aliok,84,394
discovery,knative-extensions,https://github.com/knative-extensions/discovery,2024-05-17T21:53:31Z,12,28,12,4,0,0,0,,,17,,,0,16,0,0,0,0,0,0,,,2021-09-14T05:46:03Z,markusthoemmes,6,16
educational-game,knative-extensions,https://github.com/knative-extensions/educational-game,2026-04-03T12:44:55Z,8,28,8,71,18,2,7,2026-04-03T12:44:55Z,iwdie,8,,,37,18,33,19,50,19,67,18,2026-04-02T16:46:58Z,AdeshDeshmukh,2026-04-03T12:44:01Z,Cali0707,336,131
eventing-autoscaler-keda,knative-extensions,https://github.com/knative-extensions/eventing-autoscaler-keda,2026-03-30T02:07:05Z,49,40,49,5,2,0,0,2025-08-06T19:31:48Z,Cali0707,27,2026-01-28T16:26:41Z,68,0,17,0,0,0,0,2,2,,,2025-08-05T14:41:59Z,Cali0707,39,1036
eventing-ceph,knative-extensions,https://github.com/knative-extensions/eventing-ceph,2026-03-30T02:07:04Z,7,29,7,0,3,0,0,2025-08-06T19:35:49Z,Cali0707,79,2026-01-28T08:10:58Z,69,0,9,0,0,0,0,3,3,,,2025-08-05T14:40:15Z,Cali0707,139,328
eventing-github,knative-extensions,https://github.com/knative-extensions/eventing-github,2026-03-30T02:09:04Z,21,38,21,3,5,0,0,2025-07-08T14:46:04Z,Cali0707,82,2026-01-28T08:23:28Z,69,0,8,1,0,1,0,5,5,2026-01-01T02:36:58Z,abasu0713,2025-08-05T14:42:52Z,Cali0707,72,346
eventing-gitlab,knative-extensions,https://github.com/knative-extensions/eventing-gitlab,2026-03-30T02:10:04Z,12,30,12,1,3,0,0,2025-09-18T15:55:02Z,xNok,80,2026-01-28T08:15:07Z,69,0,9,1,0,0,0,3,3,2025-09-18T15:57:54Z,dprotaso,2025-09-18T15:54:46Z,Cali0707,130,346
eventing-integrations,knative-extensions,https://github.com/knative-extensions/eventing-integrations,2026-03-18T02:15:59Z,1,16,1,12,31,0,2,2026-01-27T10:41:31Z,gauron99,14,2026-01-27T09:42:34Z,69,1,31,5,6,7,6,33,31,2025-09-08T13:39:22Z,christophd,2025-11-19T14:07:52Z,creydr,99,192
eventing-istio,knative-extensions,https://github.com/knative-extensions/eventing-istio,2026-04-06T15:00:00Z,3,22,3,1,4,0,0,2025-08-06T19:29:48Z,Cali0707,6,2026-01-28T17:01:15Z,68,0,10,0,0,0,0,4,4,,,2025-08-05T14:43:54Z,Cali0707,49,544
eventing-kafka-broker,knative-extensions,https://github.com/knative-extensions/eventing-kafka-broker,2026-04-03T13:05:56Z,204,143,204,85,107,2,14,2026-04-02T06:28:54Z,dprotaso,75,2026-02-24T10:46:40Z,41,9,236,24,56,52,56,151,116,2026-04-03T00:49:42Z,dprotaso,2026-04-02T06:27:42Z,creydr,1539,16337
eventing-natss,knative-extensions,https://github.com/knative-extensions/eventing-natss,2026-03-30T02:17:06Z,49,45,49,5,18,2,8,2026-03-12T19:27:20Z,astelmashenko,84,2026-03-12T19:39:04Z,25,1,30,4,8,10,8,25,22,2026-02-26T14:23:21Z,lepeli,2026-03-12T19:26:38Z,Cali0707,142,6384
eventing-rabbitmq,knative-extensions,https://github.com/knative-extensions/eventing-rabbitmq,2026-04-06T11:41:00Z,99,71,99,5,5,0,0,2025-08-06T19:18:48Z,Cali0707,42,2026-01-28T08:15:42Z,69,0,34,5,3,7,2,5,5,2026-03-12T10:42:12Z,eloo-abi,2025-11-19T10:25:37Z,creydr,156,644
eventing-redis,knative-extensions,https://github.com/knative-extensions/eventing-redis,2026-03-30T02:21:05Z,18,32,18,3,1,0,0,2025-04-24T09:20:24Z,gauron99,22,2026-01-28T08:22:56Z,69,0,5,1,4,1,4,1,1,2024-10-11T06:39:57Z,tdeverdiere,2025-08-05T14:44:56Z,Cali0707,129,602
func-go,knative-extensions,https://github.com/knative-extensions/func-go,2026-03-18T02:34:59Z,7,9,7,1,1,0,0,2025-07-02T08:43:54Z,matejvasek,6,,,1,1,0,1,1,1,3,1,,,2025-09-15T07:58:35Z,matzew,63,140
func-python,knative-extensions,https://github.com/knative-extensions/func-python,2026-03-18T01:58:16Z,1,4,1,0,26,0,0,2025-11-25T05:42:27Z,matejvasek,4,2025-11-19T11:45:14Z,138,0,27,0,0,0,0,26,26,,,2025-11-25T05:41:43Z,lkingland,86,101
func-tastic,knative-extensions,https://github.com/knative-extensions/func-tastic,2026-03-18T01:55:38Z,5,11,5,1,0,0,0,,,7,,,0,0,1,1,2,1,1,0,2025-08-21T07:26:07Z,gauron99,,,20,131
homebrew-kn-plugins,knative-extensions,https://github.com/knative-extensions/homebrew-kn-plugins,2026-03-19T15:18:00Z,2,22,2,4,5,2,3,2026-03-16T21:24:52Z,dsimansk,20,,,0,5,0,2,1,2,5,5,2025-11-07T15:11:01Z,linkvt,2025-07-30T09:09:10Z,dsimansk,32,131
kn-plugin-admin,knative-extensions,https://github.com/knative-extensions/kn-plugin-admin,2026-04-06T02:32:00Z,8,20,8,0,2,0,0,2025-11-19T09:19:15Z,dprotaso,12,2026-01-28T16:46:17Z,68,0,7,0,0,0,0,2,2,,,2025-07-23T14:27:26Z,dsimansk,22,308
kn-plugin-event,knative-extensions,https://github.com/knative-extensions/kn-plugin-event,2026-03-18T01:58:20Z,7,28,7,10,3,0,1,2026-02-10T15:05:57Z,cardil,11,2026-01-28T16:30:14Z,68,0,9,1,1,2,1,5,4,2025-02-12T11:14:06Z,cardil,2025-07-23T14:27:28Z,dsimansk,65,464
kn-plugin-operator,knative-extensions,https://github.com/knative-extensions/kn-plugin-operator,2026-04-06T14:28:03Z,6,14,6,1,8,0,4,2026-01-29T20:30:32Z,paulxuca,10,2026-01-30T01:05:58Z,67,1,8,0,1,1,1,11,8,,,2026-01-27T10:31:20Z,creydr,50,264
kn-plugin-quickstart,knative-extensions,https://github.com/knative-extensions/kn-plugin-quickstart,2026-03-18T01:55:54Z,27,45,27,4,11,0,2,2026-01-19T12:07:53Z,linkvt,28,2026-01-28T16:29:29Z,68,1,11,2,11,8,10,15,11,2026-02-28T23:11:17Z,Alexander-Kita,2026-01-19T12:05:09Z,dsimansk,65,284
kn-plugin-sample,knative-extensions,https://github.com/knative-extensions/kn-plugin-sample,2026-03-18T01:54:13Z,0,12,0,2,0,0,0,,,8,,,0,6,0,0,0,0,0,0,,,2025-02-19T08:43:09Z,dsimansk,,169
kn-plugin-service-log,knative-extensions,https://github.com/knative-extensions/kn-plugin-service-log,2026-03-18T01:55:47Z,7,6,7,0,0,0,0,,,5,,,0,4,0,0,0,0,0,0,,,2021-09-13T13:35:17Z,markusthoemmes,1,245
kn-plugin-source-kafka,knative-extensions,https://github.com/knative-extensions/kn-plugin-source-kafka,2026-04-06T14:37:02Z,3,20,3,1,8,0,0,2025-11-19T09:32:15Z,dprotaso,14,2026-01-28T16:48:09Z,68,0,16,0,0,0,0,10,8,,,2021-05-28T15:59:17Z,maximilien,33,241
